distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,Z,q8_7,1,mwpm,-,20000,21,0.00105,0.0010499999999999954,0.0035174197982996702,
5,Z,q8_7,10,mwpm,-,20000,834,0.0417,0.004335301156113858,0.11339551815763116,
5,Z,q8_7,13,mwpm,-,20000,1032,0.0516,0.004171821838389489,0.14783579506911337,
5,Z,q8_7,30,mwpm,-,20000,3042,0.1521,0.006008489798470129,0.3981582149863243,
5,Z,q8_7,50,mwpm,-,20000,3866,0.1933,0.004863571425496649,0.6319437760394067,
5,Z,q8_7,70,mwpm,-,20000,5065,0.25325,0.005019155495492922,0.9558712961152196,
5,Z,q8_7,90,mwpm,-,20000,6944,0.3472,0.006542804675190361,1.332749143941328,
5,Z,q8_7,110,mwpm,-,20000,6980,0.349,0.005412888634918289,1.5893265919294208,
5,Z,q8_7,130,mwpm,-,20000,7638,0.3819,0.005519601661838014,1.8880740550812334,
5,Z,q8_7,150,mwpm,-,20000,8257,0.41285,0.0057894786872935144,2.29581037000753,
5,Z,q8_7,170,mwpm,-,20000,8432,0.4216,0.005419777215910915,2.5554144540801644,
5,Z,q8_7,190,mwpm,-,20000,8708,0.4354,0.005356349504218427,2.892214864026755,
5,Z,q8_7,210,mwpm,-,20000,9257,0.46285,0.0061514754404395355,3.0940101149026304,
5,Z,q8_7,230,mwpm,-,20000,9275,0.46375,0.005672294250122889,3.3796340690460056,
5,Z,q8_7,250,mwpm,-,20000,9256,0.4628,0.00516968734876877,3.713128638919443,
