distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q6_9,1,mwpm,-,20000,20,0.001,0.0010000000000000009,0.003506310982629657,
5,X,q6_9,10,mwpm,-,20000,769,0.03845,0.003984920925056534,0.1051729351747781,
5,X,q6_9,13,mwpm,-,20000,1016,0.0508,0.004103830297946365,0.1491410848684609,
5,X,q6_9,30,mwpm,-,20000,2749,0.13745,0.005328828576661115,0.4113520469982177,
5,X,q6_9,50,mwpm,-,20000,3805,0.19025,0.0047655697787205575,0.6465166080743074,
5,X,q6_9,70,mwpm,-,20000,5374,0.2687,0.0054761660375766685,0.9730405500158668,
5,X,q6_9,90,mwpm,-,20000,6333,0.31665,0.005542447934691885,1.2713978979736567,
5,X,q6_9,110,mwpm,-,20000,6713,0.33565,0.005031826821698393,1.5802249580156058,
5,X,q6_9,130,mwpm,-,20000,7470,0.3735,0.005258178447199502,1.9297043969854712,
5,X,q6_9,150,mwpm,-,20000,7912,0.3956,0.00519409448517838,2.213413391029462,
5,X,q6_9,170,mwpm,-,20000,8539,0.42695,0.005625362862913097,2.55890746996738,
5,X,q6_9,190,mwpm,-,20000,8765,0.43825,0.005473801540906376,3.213635755935684,
5,X,q6_9,210,mwpm,-,20000,8685,0.43425,0.00480709603896462,3.1452896690461785,
5,X,q6_9,230,mwpm,-,20000,9079,0.45395,0.005157735859524781,4.225047050975263,
5,X,q6_9,250,mwpm,-,20000,9246,0.4623,0.005143260065619215,3.8989807970356196,
