distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q4_9,1,bplsd,-,20000,63,0.00315,0.003149999999999986,0.10434538801200688,
3,X,q4_9,10,bplsd,-,20000,1790,0.0895,0.009764993384169807,4.106251433957368,
3,X,q4_9,13,bplsd,-,20000,2464,0.1232,0.010762989709431292,6.397009205073118,
3,X,q4_9,30,bplsd,-,20000,4636,0.2318,0.010274223736169485,25.04959059599787,
