distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,Z,q6_9,1,mwpm,-,20000,15,0.00075,0.0007499999999999729,0.003438277868553996,
5,Z,q6_9,10,mwpm,-,20000,985,0.04925,0.005157972738460581,0.11786664999090135,
5,Z,q6_9,13,mwpm,-,20000,1194,0.0597,0.004866614546038983,0.15491314395330846,
5,Z,q6_9,30,mwpm,-,20000,3376,0.1688,0.0068178512474061925,0.42357007414102554,
5,Z,q6_9,50,mwpm,-,20000,4288,0.2144,0.005568913662496622,0.6863171588629484,
5,Z,q6_9,70,mwpm,-,20000,5258,0.2629,0.005301169555310237,0.951026574941352,
5,Z,q6_9,90,mwpm,-,20000,7200,0.36,0.00702225286951097,1.445889757014811,
5,Z,q6_9,110,mwpm,-,20000,6833,0.34165,0.005199145146854878,1.640526277013123,
5,Z,q6_9,130,mwpm,-,20000,7594,0.3797,0.0054493922536638095,1.9599512540735304,
5,Z,q6_9,150,mwpm,-,20000,8024,0.4012,0.00537592556180555,2.3366737731266767,
5,Z,q6_9,170,mwpm,-,20000,8455,0.42275,0.005462766039739164,2.584436133969575,
5,Z,q6_9,190,mwpm,-,20000,8902,0.4451,0.005779742131857446,3.3628393579274416,
5,Z,q6_9,210,mwpm,-,20000,8874,0.4437,0.005172849822934422,3.368713920004666,
5,Z,q6_9,230,mwpm,-,20000,9246,0.4623,0.0055879919096754604,3.7483562100678682,
5,Z,q6_9,250,mwpm,-,20000,9364,0.4682,0.005480031625086479,3.8645915160886943,
