distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q2_7,1,mwpm,-,50000,289,0.00578,0.005780000000000007,0.001898449845612049,
3,X,q2_7,10,mwpm,-,50000,3558,0.07116,0.00761758665376977,0.039682413917034864,
3,X,q2_7,13,mwpm,-,50000,4760,0.0952,0.008058015314406364,0.05409688293002546,
3,X,q2_7,30,mwpm,-,50000,9920,0.1984,0.008354522280911325,0.1348276250064373,
3,X,q2_7,50,mwpm,-,50000,14319,0.28638,0.008432182290198431,0.22859129100106657,
3,X,q2_7,70,mwpm,-,50000,17243,0.34486,0.008289656511492272,0.3142530240584165,
3,X,q2_7,90,mwpm,-,50000,22248,0.44496,0.01210954681265608,0.5060200018342584,
3,X,q2_7,110,mwpm,-,50000,21126,0.42252,0.008403972914367341,0.5022534821182489,
3,X,q2_7,130,mwpm,-,50000,22787,0.45574,0.009238683473763054,0.6478506689891219,
3,X,q2_7,150,mwpm,-,50000,22944,0.45888,0.008258088579478129,0.7063559379894286,
3,X,q2_7,170,mwpm,-,50000,23679,0.47358,0.00857412358901749,0.8291748079936951,
3,X,q2_7,190,mwpm,-,50000,23856,0.47712,0.008051171463427098,0.8937146200332791,
3,X,q2_7,210,mwpm,-,50000,24348,0.48696,0.008607400174505342,0.989130434114486,
3,X,q2_7,230,mwpm,-,50000,24588,0.49176,0.008846046323105927,1.1151153959799558,
3,X,q2_7,250,mwpm,-,50000,24321,0.48642,0.0071602559019003365,1.1735003250651062,
