distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q2_7,1,mwpm-rl,-,50000,310,0.0062,0.006199999999999983,0.002805110067129135,
3,Z,q2_7,10,mwpm-rl,-,50000,3353,0.06706,0.007148848949602327,0.03760085394605994,
3,Z,q2_7,13,mwpm-rl,-,50000,4309,0.08618,0.007223353659906839,0.04851518105715513,
3,Z,q2_7,30,mwpm-rl,-,50000,9132,0.18264,0.007519078882042729,0.12478976999409497,
3,Z,q2_7,50,mwpm-rl,-,50000,12893,0.25786,0.007198597656742023,0.18791687907651067,
3,Z,q2_7,70,mwpm-rl,-,50000,16541,0.33082,0.0076807158479098026,0.29629300301894546,
3,Z,q2_7,90,mwpm-rl,-,50000,19464,0.38928,0.008305815389830384,0.3802913259714842,
3,Z,q2_7,110,mwpm-rl,-,50000,20072,0.40144,0.007327337026657277,0.4471421339549124,
3,Z,q2_7,130,mwpm-rl,-,50000,21534,0.43068,0.00754205663687274,0.5371909709647298,
3,Z,q2_7,150,mwpm-rl,-,50000,22253,0.44506,0.00730729876075481,0.6142711190041155,
3,Z,q2_7,170,mwpm-rl,-,50000,22955,0.4591,0.00730921956853714,0.7076923430431634,
3,Z,q2_7,190,mwpm-rl,-,50000,23546,0.47092,0.007429920719631611,0.8126811708789319,
3,Z,q2_7,210,mwpm-rl,-,50000,23686,0.47372,0.006964844994539365,0.8830285461153835,
3,Z,q2_7,230,mwpm-rl,-,50000,24347,0.48694,0.007861570513273908,0.9807893759571016,
3,Z,q2_7,250,mwpm-rl,-,50000,24340,0.4868,0.007216202441976849,1.06317055108957,
