distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q6_11,1,bplsd,-,50000,159,0.00318,0.003180000000000016,0.25883248494938016,
3,Z,q6_11,10,bplsd,-,50000,4686,0.09372,0.010271308822181413,11.371208342025056,
3,Z,q6_11,13,bplsd,-,50000,6437,0.12874,0.011320098266726308,17.99860886693932,
3,Z,q6_11,30,bplsd,-,50000,12979,0.25958,0.012055952945626669,70.60387421306223,
3,Z,q6_11,50,bplsd,-,50000,17913,0.35826,0.012448549516962615,144.09218879113905,
3,Z,q6_11,70,bplsd,-,50000,20905,0.4181,0.012756653737179047,223.85789621295407,
