distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,Z,q8_7,1,ising,fast,50000,0,nan,nan,0.0,skipped: rounds<2
5,Z,q8_7,10,ising,fast,50000,10055,0.2011,0.02507438322502209,84.27072077686898,"R=9,rot=XV"
5,Z,q8_7,13,ising,fast,50000,10800,0.216,0.02128865224342924,111.52240684512071,"R=9,rot=XV"
5,Z,q8_7,30,ising,fast,50000,16149,0.32298,0.01700969266290986,263.90178387705237,"R=9,rot=XV"
5,Z,q8_7,50,ising,fast,50000,18156,0.36312,0.012788641944654289,441.8012963330839,"R=9,rot=XV"
5,Z,q8_7,70,ising,fast,50000,20747,0.41494,0.01249306804681638,621.5977019821294,"R=9,rot=XV"
