distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q4_9,1,bplsd,-,50000,193,0.00386,0.0038599999999999746,0.26301862904801965,
3,Z,q4_9,10,bplsd,-,50000,4460,0.0892,0.009729177998618,10.185719881905243,
3,Z,q4_9,13,bplsd,-,50000,5577,0.11154,0.009614734963822702,16.03007283108309,
3,Z,q4_9,30,bplsd,-,50000,11078,0.22156,0.009662180218002803,60.916998089058325,
3,Z,q4_9,50,bplsd,-,50000,15520,0.3104,0.009603489856330472,128.13206965103745,
3,Z,q4_9,70,bplsd,-,50000,18929,0.37858,0.010008140767829465,203.00671738293022,
