distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q4_7,1,ising,fast,50000,0,nan,nan,0.0,skipped: rounds<2
5,X,q4_7,10,ising,fast,50000,8559,0.17118,0.02052184402889934,84.55796332913451,"R=9,rot=XV"
5,X,q4_7,13,ising,fast,50000,10851,0.21702,0.021421127011541308,111.07653022510931,"R=9,rot=XV"
5,X,q4_7,30,ising,fast,50000,14625,0.2925,0.014445174860070409,263.99354386888444,"R=9,rot=XV"
5,X,q4_7,50,ising,fast,50000,17615,0.3523,0.012046750897487635,442.74455230589956,"R=9,rot=XV"
5,X,q4_7,70,ising,fast,50000,20583,0.41166,0.012229491548221005,622.4161461628973,"R=9,rot=XV"
