distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q8_7,1,mwpm-rl,-,50000,164,0.00328,0.003280000000000005,0.00997742498293519,
5,X,q8_7,10,mwpm-rl,-,50000,2992,0.05984,0.0063330407380450815,0.2785033341497183,
5,X,q8_7,13,mwpm-rl,-,50000,3717,0.07434,0.006152874540637121,0.36970921279862523,
5,X,q8_7,30,mwpm-rl,-,50000,9843,0.19686,0.008271048397308078,1.0024910171050578,
5,X,q8_7,50,mwpm-rl,-,50000,12111,0.24222,0.006581318279940573,1.5205975479912013,
5,X,q8_7,70,mwpm-rl,-,50000,16289,0.32578,0.007474210500355127,2.407072126865387,
5,X,q8_7,90,mwpm-rl,-,50000,18103,0.36206,0.007103442984520647,3.007601003162563,
5,X,q8_7,110,mwpm-rl,-,50000,20165,0.4033,0.00741266097848664,3.8989267870783806,
5,X,q8_7,130,mwpm-rl,-,50000,21739,0.43478,0.007772955015951266,4.529487870167941,
5,X,q8_7,150,mwpm-rl,-,50000,22543,0.45086,0.007673621802303632,5.302869863109663,
5,X,q8_7,170,mwpm-rl,-,50000,23134,0.46268,0.007574623435128269,6.445801491849124,
5,X,q8_7,190,mwpm-rl,-,50000,23739,0.47478,0.007798985236665723,7.369950998108834,
5,X,q8_7,210,mwpm-rl,-,50000,23504,0.47008,0.0066601984970235395,7.031393944984302,
5,X,q8_7,230,mwpm-rl,-,50000,24278,0.48556,0.0076465917219364354,8.527529346058145,
5,X,q8_7,250,mwpm-rl,-,50000,24500,0.49,0.0077631483726028905,8.980904922122136,
