distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
7,Z,q6_7,1,ising,fast,50000,0,nan,nan,0.0,skipped: rounds<2
7,Z,q6_7,10,ising,fast,50000,12292,0.24584,0.03271297306339993,193.0537193811033,"R=9,rot=XV"
7,Z,q6_7,13,ising,fast,50000,12967,0.25934,0.027347626173105155,253.9086301261559,"R=9,rot=XV"
7,Z,q6_7,30,ising,fast,50000,16679,0.33358,0.01800279324299453,601.4575144269038,"R=9,rot=XV"
7,Z,q6_7,50,ising,fast,50000,18137,0.36274,0.012761627197824754,1010.4401290931273,"R=9,rot=XV"
7,Z,q6_7,70,ising,fast,50000,20518,0.41036,0.012127685709568792,1419.7076034909114,"R=9,rot=XV"
