distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q6_7,1,bplsd,-,50000,929,0.01858,0.018579999999999985,0.2633487079292536,
3,X,q6_7,10,bplsd,-,50000,8617,0.17234,0.020691261824287766,13.919933882076293,
3,X,q6_7,13,bplsd,-,50000,10242,0.20484,0.019867227946986976,19.886524053057656,
3,X,q6_7,30,bplsd,-,50000,18925,0.3785,0.023030934189946062,82.93970309011638,
3,X,q6_7,50,bplsd,-,50000,22143,0.44286,0.021227266545563006,153.82859341893345,
3,X,q6_7,70,bplsd,-,50000,24631,0.49262,0.029224237823237853,246.0323607281316,
