distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q6_9,1,ising,fast,50000,0,nan,nan,0.0,skipped: rounds<2
5,X,q6_9,10,ising,fast,50000,8963,0.17926,0.021713286749444505,84.04160075308755,"R=9,rot=XV"
5,X,q6_9,13,ising,fast,50000,10050,0.201,0.01938959114393851,110.84874211298302,"R=9,rot=XV"
5,X,q6_9,30,ising,fast,50000,14941,0.29882,0.014945545090671863,262.9786839010194,"R=9,rot=XV"
5,X,q6_9,50,ising,fast,50000,18087,0.36174,0.012690884473813613,440.8603838349227,"R=9,rot=XV"
5,X,q6_9,70,ising,fast,50000,21121,0.42242,0.013133699061245285,620.8028937468771,"R=9,rot=XV"
