distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q6_11,1,mwpm,-,50000,151,0.00302,0.0030200000000000227,0.0021280930377542973,
3,Z,q6_11,10,mwpm,-,50000,4219,0.08438,0.009156948144767807,0.050102476961910725,
3,Z,q6_11,13,mwpm,-,50000,5800,0.116,0.010050141422529357,0.0690546000842005,
3,Z,q6_11,30,mwpm,-,50000,11845,0.2369,0.010587528101459132,0.16921395296230912,
3,Z,q6_11,50,mwpm,-,50000,16681,0.33362,0.010883147531688564,0.29422039398923516,
3,Z,q6_11,70,mwpm,-,50000,19759,0.39518,0.011036120947316208,0.41895203990861773,
3,Z,q6_11,90,mwpm,-,50000,22869,0.45738,0.013493928226428364,0.5787181120831519,
3,Z,q6_11,110,mwpm,-,50000,22912,0.45824,0.011158464422648562,0.6468403630424291,
3,Z,q6_11,130,mwpm,-,50000,23302,0.46604,0.010237678222106583,0.7265139368828386,
3,Z,q6_11,150,mwpm,-,50000,23903,0.47806,0.010313142348127524,0.8311111179646105,
3,Z,q6_11,170,mwpm,-,50000,24450,0.489,0.011100549072448784,1.0052724238485098,
3,Z,q6_11,190,mwpm,-,50000,24502,0.49004,0.010199870551107104,1.0997363268397748,
3,Z,q6_11,210,mwpm,-,50000,24636,0.49272,0.009969452680104351,1.2306815180927515,
3,Z,q6_11,230,mwpm,-,50000,24719,0.49438,0.009662537492753864,1.4100760160945356,
3,Z,q6_11,250,mwpm,-,50000,24670,0.4934,0.0085805969151877,1.4108504340983927,
