distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q8_9,1,bplsd,-,50000,311,0.00622,0.006220000000000003,0.26828447403386235,
3,Z,q8_9,10,bplsd,-,50000,6632,0.13264,0.015178143174873204,13.617788509931415,
3,Z,q8_9,13,bplsd,-,50000,8321,0.16642,0.0153265444037341,21.258341189008206,
3,Z,q8_9,30,bplsd,-,50000,15036,0.30072,0.015098946119485313,75.78265437996015,
3,Z,q8_9,50,bplsd,-,50000,19226,0.38452,0.014442418315827321,149.32627553096972,
3,Z,q8_9,70,bplsd,-,50000,22141,0.44282,0.015251160701792998,225.08077242202125,
