distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q4_9,1,mwpm,-,20000,14,0.0007,0.0006999999999999784,0.0005927409511059523,
3,X,q4_9,10,mwpm,-,20000,286,0.0143,0.0014487445296974544,0.007769856136292219,
3,X,q4_9,13,mwpm,-,20000,316,0.0158,0.0012334780986558158,0.010395844001322985,
3,X,q4_9,30,mwpm,-,20000,828,0.0414,0.0014384224307274485,0.02555271703749895,
3,X,q4_9,50,mwpm,-,20000,1303,0.06515,0.0013941223463965202,0.04263406596146524,
3,X,q4_9,70,mwpm,-,20000,1807,0.09035,0.0014215821357975722,0.06125339400023222,
3,X,q4_9,90,mwpm,-,20000,2212,0.1106,0.0013869672319535842,0.07901604613289237,
3,X,q4_9,110,mwpm,-,20000,2695,0.13475,0.0014253556183350113,0.09656288288533688,
3,X,q4_9,130,mwpm,-,20000,3153,0.15765,0.0014547046932695262,0.11518121114932,
3,X,q4_9,150,mwpm,-,20000,3506,0.1753,0.0014369526002999677,0.13374471804127097,
3,X,q4_9,170,mwpm,-,20000,3819,0.19095,0.0014130143922058136,0.1553227100521326,
3,X,q4_9,190,mwpm,-,20000,4083,0.20415,0.0013790303746813448,0.17148986202664673,
3,X,q4_9,210,mwpm,-,20000,4511,0.22555,0.0014261503228216732,0.1949469498358667,
3,X,q4_9,230,mwpm,-,20000,4721,0.23605,0.0013868739017594556,0.21079572616145015,
3,X,q4_9,250,mwpm,-,20000,5064,0.2532,0.0014100675761227754,0.2306259060278535,
