distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
5,X,q6_9,1,mwpm,-,20000,2,0.0001,9.999999999998899e-05,0.0013998991344124079,
5,X,q6_9,10,mwpm,-,20000,72,0.0036,0.0003611717467049136,0.03221217286773026,
5,X,q6_9,13,mwpm,-,20000,75,0.00375,0.00028946488621861555,0.043466988019645214,
5,X,q6_9,30,mwpm,-,20000,188,0.0094,0.0003162160751781218,0.10305553092621267,
5,X,q6_9,50,mwpm,-,20000,280,0.014,0.0002839141074695295,0.17431437596678734,
5,X,q6_9,70,mwpm,-,20000,402,0.0201,0.00029298804986788163,0.2445998969487846,
5,X,q6_9,90,mwpm,-,20000,526,0.0263,0.00030009817443682474,0.3242745359893888,
5,X,q6_9,110,mwpm,-,20000,612,0.0306,0.0002869758633523012,0.39351127995178103,
5,X,q6_9,130,mwpm,-,20000,764,0.0382,0.00030558427826726797,0.4684497700072825,
5,X,q6_9,150,mwpm,-,20000,860,0.043,0.000299659193567392,0.545400079106912,
5,X,q6_9,170,mwpm,-,20000,946,0.0473,0.00029220412458769163,0.6273258998990059,
5,X,q6_9,190,mwpm,-,20000,1090,0.0545,0.00030362054436389174,0.7076673679985106,
5,X,q6_9,210,mwpm,-,20000,1178,0.0589,0.0002983311804961586,0.7868151089642197,
5,X,q6_9,230,mwpm,-,20000,1315,0.06575,0.00030640106545243295,0.885511795990169,
5,X,q6_9,250,mwpm,-,20000,1344,0.0672,0.0002885814304801615,0.9560963320545852,
