distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,X,q6_7,1,mwpm,-,20000,18,0.0009,0.0009000000000000119,0.0005649910308420658,
3,X,q6_7,10,mwpm,-,20000,278,0.0139,0.0014077013681476624,0.007799885934218764,
3,X,q6_7,13,mwpm,-,20000,341,0.01705,0.0013326428164811555,0.010525960009545088,
3,X,q6_7,30,mwpm,-,20000,806,0.0403,0.0013986068369907234,0.02553227893076837,
3,X,q6_7,50,mwpm,-,20000,1329,0.06645,0.0014239781141853203,0.04367282218299806,
3,X,q6_7,70,mwpm,-,20000,1846,0.0923,0.0014555664098653276,0.06033114390447736,
3,X,q6_7,90,mwpm,-,20000,2226,0.1113,0.0013969352660044287,0.07811591890640557,
3,X,q6_7,110,mwpm,-,20000,2639,0.13195,0.0013907408817355194,0.09889762313105166,
3,X,q6_7,130,mwpm,-,20000,3098,0.1549,0.001424021643554929,0.11583161097951233,
3,X,q6_7,150,mwpm,-,20000,3408,0.1704,0.0013871665372273134,0.13542557111941278,
3,X,q6_7,170,mwpm,-,20000,3779,0.18895,0.0013940953118306565,0.1543494570069015,
3,X,q6_7,190,mwpm,-,20000,4208,0.2104,0.0014350614861458055,0.17321653105318546,
3,X,q6_7,210,mwpm,-,20000,4595,0.22975,0.001462762434015774,0.18546272302046418,
3,X,q6_7,230,mwpm,-,20000,4734,0.2367,0.0013922190595135886,0.21349223284050822,
3,X,q6_7,250,mwpm,-,20000,5092,0.2546,0.0014214128804070358,0.2324767680838704,
