distance,basis,orientation,rounds,decoder,model,shots,n_errors,ler,ler_per_cycle,decode_seconds,note
3,Z,q2_7,1,mwpm,-,20000,24,0.0012,0.0011999999999999789,0.0006026711780577898,
3,Z,q2_7,10,mwpm,-,20000,231,0.01155,0.0011671848718117217,0.007781295105814934,
3,Z,q2_7,13,mwpm,-,20000,334,0.0167,0.0013048528360494194,0.010590777033939958,
3,Z,q2_7,30,mwpm,-,20000,770,0.0385,0.0013336522771554282,0.025491694919764996,
3,Z,q2_7,50,mwpm,-,20000,1320,0.066,0.001413633508917711,0.042786415899172425,
3,Z,q2_7,70,mwpm,-,20000,1770,0.0885,0.001389487727409322,0.061559866182506084,
3,Z,q2_7,90,mwpm,-,20000,2170,0.1085,0.001357169102139233,0.07927010580897331,
3,Z,q2_7,110,mwpm,-,20000,2636,0.1318,0.0013888938923007355,0.09576192311942577,
3,Z,q2_7,130,mwpm,-,20000,2997,0.14985,0.0013683030329632584,0.1123951820190996,
3,Z,q2_7,150,mwpm,-,20000,3446,0.1723,0.0014063835110274536,0.132117590168491,
3,Z,q2_7,170,mwpm,-,20000,3831,0.19155,0.0014187138554240808,0.15433512278832495,
3,Z,q2_7,190,mwpm,-,20000,4175,0.20875,0.001420153267962465,0.17164825601503253,
3,Z,q2_7,210,mwpm,-,20000,4495,0.22475,0.0014192398500005865,0.1829771469347179,
3,Z,q2_7,230,mwpm,-,20000,4710,0.2355,0.0013823613024129267,0.20705716498196125,
3,Z,q2_7,250,mwpm,-,20000,5049,0.25245,0.0014040160740609875,0.22739845514297485,
