distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
3,Z,q4_9,90,ising,fast,50000,0.50444,0.5,1.4096947289945092,"R=9,rot=XV"
3,Z,q4_9,110,ising,fast,50000,0.49836,0.02533518622800629,1.7266690500255208,"R=9,rot=XV"
3,Z,q4_9,130,ising,fast,50000,0.5008,0.5,2.053597741003614,"R=9,rot=XV"
3,Z,q4_9,150,ising,fast,50000,0.4986,0.019214835918059947,2.346692211984191,"R=9,rot=XV"
3,Z,q4_9,170,ising,fast,50000,0.50054,0.5,2.6556063239986543,"R=9,rot=XV"
3,Z,q4_9,190,ising,fast,50000,0.5015,0.5,2.996786809992045,"R=9,rot=XV"
3,Z,q4_9,210,ising,fast,50000,0.50298,0.5,3.373034548974829,"R=9,rot=XV"
3,Z,q4_9,230,ising,fast,50000,0.50166,0.5,3.6507907809864264,"R=9,rot=XV"
3,Z,q4_9,250,ising,fast,50000,0.49698,0.010114988403517211,3.962013412005035,"R=9,rot=XV"
3,Z,q6_11,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q6_11,10,ising,fast,50000,0.37062,0.06322304268408452,0.15024579598684795,"R=9,rot=XV"
3,Z,q6_11,13,ising,fast,50000,0.41086,0.06211253423352292,0.19342225400032476,"R=9,rot=XV"
3,Z,q6_11,30,ising,fast,50000,0.4907,0.06218856302989029,0.44968134100781754,"R=9,rot=XV"
3,Z,q6_11,50,ising,fast,50000,0.50044,0.5,0.7563441079983022,"R=9,rot=XV"
3,Z,q6_11,70,ising,fast,50000,0.49522,0.032136244225133004,1.0886545359971933,"R=9,rot=XV"
3,Z,q6_11,90,ising,fast,50000,0.49798,0.029700798122470895,1.4304221420024987,"R=9,rot=XV"
3,Z,q6_11,110,ising,fast,50000,0.49804,0.02456539757555376,1.749085418006871,"R=9,rot=XV"
3,Z,q6_11,130,ising,fast,50000,0.4959,0.018138288784306178,2.0588136090082116,"R=9,rot=XV"
3,Z,q6_11,150,ising,fast,50000,0.50506,0.5,2.37162749201525,"R=9,rot=XV"
3,Z,q6_11,170,ising,fast,50000,0.49584,0.013889014533756017,2.680335665005259,"R=9,rot=XV"
3,Z,q6_11,190,ising,fast,50000,0.50078,0.5,2.993799653981114,"R=9,rot=XV"
3,Z,q6_11,210,ising,fast,50000,0.5011,0.5,3.388435867993394,"R=9,rot=XV"
3,Z,q6_11,230,ising,fast,50000,0.50034,0.5,3.6778323799953796,"R=9,rot=XV"
3,Z,q6_11,250,ising,fast,50000,0.49654,0.009848395404569277,3.939905097009614,"R=9,rot=XV"
3,Z,q6_3,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q6_3,10,ising,fast,50000,0.3664,0.06181889147762104,0.14898196700960398,"R=9,rot=XV"
3,Z,q6_3,13,ising,fast,50000,0.42582,0.06825715929288767,0.19404609297635034,"R=9,rot=XV"
3,Z,q6_3,30,ising,fast,50000,0.49152,0.06353355034623837,0.44850624399259686,"R=9,rot=XV"
3,Z,q6_3,50,ising,fast,50000,0.50058,0.5,0.757115721993614,"R=9,rot=XV"
3,Z,q6_3,70,ising,fast,50000,0.49972,0.05072159161971185,1.0755588890169747,"R=9,rot=XV"
3,Z,q6_3,90,ising,fast,50000,0.49816,0.03018825573558226,1.4203369529859629,"R=9,rot=XV"
3,Z,q6_3,110,ising,fast,50000,0.50038,0.5,1.7486206870235037,"R=9,rot=XV"
3,Z,q6_3,130,ising,fast,50000,0.50334,0.5,2.053568926989101,"R=9,rot=XV"
3,Z,q6_3,150,ising,fast,50000,0.50242,0.5,2.378456594015006,"R=9,rot=XV"
3,Z,q6_3,170,ising,fast,50000,0.49968,0.02116837330321847,2.67827249399852,"R=9,rot=XV"
3,Z,q6_3,190,ising,fast,50000,0.50136,0.5,3.008897766005248,"R=9,rot=XV"
3,Z,q6_3,210,ising,fast,50000,0.50408,0.5,3.3908318239846267,"R=9,rot=XV"
3,Z,q6_3,230,ising,fast,50000,0.5001,0.5,3.6674505099945236,"R=9,rot=XV"
3,Z,q6_3,250,ising,fast,50000,0.49948,0.01355007844616607,3.959133423981257,"R=9,rot=XV"
3,Z,q6_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q6_7,10,ising,fast,50000,0.39982,0.07425348013860195,0.150264727009926,"R=9,rot=XV"
3,Z,q6_7,13,ising,fast,50000,0.43342,0.07183206362792216,0.19493012098246254,"R=9,rot=XV"
3,Z,q6_7,30,ising,fast,50000,0.50036,0.5,0.45224729299661703,"R=9,rot=XV"
3,Z,q6_7,50,ising,fast,50000,0.50144,0.5,0.7596807909721974,"R=9,rot=XV"
3,Z,q6_7,70,ising,fast,50000,0.49908,0.04302128382498527,1.0920899549964815,"R=9,rot=XV"
3,Z,q6_7,90,ising,fast,50000,0.49806,0.02991191265345955,1.4273592499957886,"R=9,rot=XV"
3,Z,q6_7,110,ising,fast,50000,0.49918,0.02831680569678008,1.7654154860065319,"R=9,rot=XV"
3,Z,q6_7,130,ising,fast,50000,0.49748,0.019939035793814563,2.064380160998553,"R=9,rot=XV"
3,Z,q6_7,150,ising,fast,50000,0.49808,0.018201386541860987,2.3906061799789313,"R=9,rot=XV"
3,Z,q6_7,170,ising,fast,50000,0.49518,0.013467748889025966,2.6957909310003743,"R=9,rot=XV"
3,Z,q6_7,190,ising,fast,50000,0.4957,0.01236042560154993,3.019139367999742,"R=9,rot=XV"
3,Z,q6_7,210,ising,fast,50000,0.49776,0.012712115130495139,3.382086672994774,"R=9,rot=XV"
3,Z,q6_7,230,ising,fast,50000,0.49968,0.015734165335719752,3.685379511996871,"R=9,rot=XV"
3,Z,q6_7,250,ising,fast,50000,0.50024,0.5,3.9744400630006567,"R=9,rot=XV"
3,Z,q8_5,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q8_5,10,ising,fast,50000,0.34762,0.056017552637045,0.1488819340011105,"R=9,rot=XV"
3,Z,q8_5,13,ising,fast,50000,0.38548,0.053591541758482186,0.1922966109996196,"R=9,rot=XV"
3,Z,q8_5,30,ising,fast,50000,0.49834,0.08662779278577926,0.45297335099894553,"R=9,rot=XV"
3,Z,q8_5,50,ising,fast,50000,0.50016,0.5,0.7551496319938451,"R=9,rot=XV"
3,Z,q8_5,70,ising,fast,50000,0.49946,0.046486370287762036,1.0650208939914592,"R=9,rot=XV"
3,Z,q8_5,90,ising,fast,50000,0.50182,0.5,1.4073464270040859,"R=9,rot=XV"
3,Z,q8_5,110,ising,fast,50000,0.49858,0.025956328742474333,1.7418165300041437,"R=9,rot=XV"
3,Z,q8_5,130,ising,fast,50000,0.50438,0.5,2.0659995220194105,"R=9,rot=XV"
3,Z,q8_5,150,ising,fast,50000,0.50074,0.5,2.386488505988382,"R=9,rot=XV"
3,Z,q8_5,170,ising,fast,50000,0.4984,0.01661361275951606,2.679203284002142,"R=9,rot=XV"
3,Z,q8_5,190,ising,fast,50000,0.49846,0.014988707689870873,3.0147240349906497,"R=9,rot=XV"
3,Z,q8_5,210,ising,fast,50000,0.49618,0.01147195933836792,3.3669873149774503,"R=9,rot=XV"
3,Z,q8_5,230,ising,fast,50000,0.5022,0.5,3.6673939040047117,"R=9,rot=XV"
3,Z,q8_5,250,ising,fast,50000,0.50134,0.5,3.9482594000000972,"R=9,rot=XV"
3,Z,q8_9,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,Z,q8_9,10,ising,fast,50000,0.42194,0.08474405512972716,0.1512463929830119,"R=9,rot=XV"
3,Z,q8_9,13,ising,fast,50000,0.45278,0.0830001979357633,0.19653820298844948,"R=9,rot=XV"
3,Z,q8_9,30,ising,fast,50000,0.49974,0.11139941583043617,0.45055357200908475,"R=9,rot=XV"
3,Z,q8_9,50,ising,fast,50000,0.4965,0.047235919681583804,0.7590527930005919,"R=9,rot=XV"
3,Z,q8_9,70,ising,fast,50000,0.49876,0.04106848118908524,1.0894614540156908,"R=9,rot=XV"
3,Z,q8_9,90,ising,fast,50000,0.4981,0.03002072068192707,1.4201081260107458,"R=9,rot=XV"
3,Z,q8_9,110,ising,fast,50000,0.49986,0.03583601398523156,1.770072239014553,"R=9,rot=XV"
3,Z,q8_9,130,ising,fast,50000,0.5064,0.5,2.0758972189796623,"R=9,rot=XV"
3,Z,q8_9,150,ising,fast,50000,0.49952,0.022633638315338767,2.38339470201754,"R=9,rot=XV"
3,Z,q8_9,170,ising,fast,50000,0.50014,0.5,2.6978113390214276,"R=9,rot=XV"
3,Z,q8_9,190,ising,fast,50000,0.50124,0.5,3.022808650013758,"R=9,rot=XV"
3,Z,q8_9,210,ising,fast,50000,0.49866,0.013902903319862547,3.4240146370138973,"R=9,rot=XV"
3,Z,q8_9,230,ising,fast,50000,0.50022,0.5,3.6738641140109394,"R=9,rot=XV"
3,Z,q8_9,250,ising,fast,50000,0.4984,0.011358212299853565,4.010018241999205,"R=9,rot=XV"
