distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
3,X,q4_9,130,ising,fast,50000,0.49816,0.021098985789035907,2.065141578001203,"R=9,rot=XV"
3,X,q4_9,150,ising,fast,50000,0.49742,0.01725142292751569,2.353597773995716,"R=9,rot=XV"
3,X,q4_9,170,ising,fast,50000,0.50234,0.5,2.7087822260218672,"R=9,rot=XV"
3,X,q4_9,190,ising,fast,50000,0.50372,0.5,2.998602718987968,"R=9,rot=XV"
3,X,q4_9,210,ising,fast,50000,0.5021,0.5,3.3947190339968074,"R=9,rot=XV"
3,X,q4_9,230,ising,fast,50000,0.50526,0.5,3.633815253007924,"R=9,rot=XV"
3,X,q4_9,250,ising,fast,50000,0.50052,0.5,3.963325143995462,"R=9,rot=XV"
3,X,q6_11,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q6_11,10,ising,fast,50000,0.3825,0.0674096864893039,0.1509751999983564,"R=9,rot=XV"
3,X,q6_11,13,ising,fast,50000,0.42592,0.06830195798400651,0.19569931598380208,"R=9,rot=XV"
3,X,q6_11,30,ising,fast,50000,0.49508,0.07138255714569441,0.45344512499286793,"R=9,rot=XV"
3,X,q6_11,50,ising,fast,50000,0.4981,0.05273421546912216,0.7628404389834031,"R=9,rot=XV"
3,X,q6_11,70,ising,fast,50000,0.50388,0.5,1.0912091879872605,"R=9,rot=XV"
3,X,q6_11,90,ising,fast,50000,0.50206,0.5,1.4452076269953977,"R=9,rot=XV"
3,X,q6_11,110,ising,fast,50000,0.50194,0.5,1.7496504240261856,"R=9,rot=XV"
3,X,q6_11,130,ising,fast,50000,0.50398,0.5,2.070303126005456,"R=9,rot=XV"
3,X,q6_11,150,ising,fast,50000,0.5028,0.5,2.3491161540150642,"R=9,rot=XV"
3,X,q6_11,170,ising,fast,50000,0.5012,0.5,2.711005378019763,"R=9,rot=XV"
3,X,q6_11,190,ising,fast,50000,0.50236,0.5,3.0383814520027954,"R=9,rot=XV"
3,X,q6_11,210,ising,fast,50000,0.49912,0.014875287923858116,3.3914116740052123,"R=9,rot=XV"
3,X,q6_11,230,ising,fast,50000,0.49716,0.011115462628562611,3.665434465976432,"R=9,rot=XV"
3,X,q6_11,250,ising,fast,50000,0.49982,0.015609949165166004,4.001163481007097,"R=9,rot=XV"
3,X,q6_3,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q6_3,10,ising,fast,50000,0.37294,0.06401264956525426,0.15081586898304522,"R=9,rot=XV"
3,X,q6_3,13,ising,fast,50000,0.41088,0.062120092487904455,0.19449887599330395,"R=9,rot=XV"
3,X,q6_3,30,ising,fast,50000,0.488,0.058452890868616936,0.46400776697555557,"R=9,rot=XV"
3,X,q6_3,50,ising,fast,50000,0.5007,0.5,0.760854638996534,"R=9,rot=XV"
3,X,q6_3,70,ising,fast,50000,0.50252,0.5,1.0854214180144481,"R=9,rot=XV"
3,X,q6_3,90,ising,fast,50000,0.4952,0.02515617377235646,1.4244071809807792,"R=9,rot=XV"
3,X,q6_3,110,ising,fast,50000,0.50156,0.5,1.743477657000767,"R=9,rot=XV"
3,X,q6_3,130,ising,fast,50000,0.49818,0.021139245196422185,2.064801066997461,"R=9,rot=XV"
3,X,q6_3,150,ising,fast,50000,0.49962,0.023376525477224297,2.353085822018329,"R=9,rot=XV"
3,X,q6_3,170,ising,fast,50000,0.5021,0.5,2.698092834005365,"R=9,rot=XV"
3,X,q6_3,190,ising,fast,50000,0.50082,0.5,3.012137612007791,"R=9,rot=XV"
3,X,q6_3,210,ising,fast,50000,0.49684,0.011913013524809779,3.4010928040079307,"R=9,rot=XV"
3,X,q6_3,230,ising,fast,50000,0.49856,0.012556947586029321,3.6595669590169564,"R=9,rot=XV"
3,X,q6_3,250,ising,fast,50000,0.49654,0.009848395404569277,3.9636347240011673,"R=9,rot=XV"
3,X,q6_7,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
3,X,q6_7,10,ising,fast,50000,0.42026,0.08385888446496637,0.15243573702173308,"R=9,rot=XV"
3,X,q6_7,13,ising,fast,50000,0.45334,0.08338270840466022,0.19707083600223996,"R=9,rot=XV"
3,X,q6_7,30,ising,fast,50000,0.49736,0.08018514511689911,0.46447922199149616,"R=9,rot=XV"
3,X,q6_7,50,ising,fast,50000,0.49918,0.06018819580371432,0.7716728929954115,"R=9,rot=XV"
3,X,q6_7,70,ising,fast,50000,0.49974,0.05119698438360526,1.109877367009176,"R=9,rot=XV"
3,X,q6_7,90,ising,fast,50000,0.5019,0.5,1.4422008559922688,"R=9,rot=XV"
3,X,q6_7,110,ising,fast,50000,0.50086,0.5,1.7599076319893356,"R=9,rot=XV"
3,X,q6_7,130,ising,fast,50000,0.5002,0.5,2.0877324199827854,"R=9,rot=XV"
3,X,q6_7,150,ising,fast,50000,0.50148,0.5,2.386184602015419,"R=9,rot=XV"
3,X,q6_7,170,ising,fast,50000,0.49942,0.01949035421009032,2.7164291570079513,"R=9,rot=XV"
3,X,q6_7,190,ising,fast,50000,0.50044,0.5,3.049115749017801,"R=9,rot=XV"
3,X,q6_7,210,ising,fast,50000,0.49634,0.011571486264110586,3.4124387110059615,"R=9,rot=XV"
3,X,q6_7,230,ising,fast,50000,0.50184,0.5,3.6839988070132677,"R=9,rot=XV"
3,X,q6_7,250,ising,fast,50000,0.50382,0.5,3.998447321995627,"R=9,rot=XV"
3,X,q8_5,1,ising,fast,50000,nan,nan,0.0,skipped: rounds<2
