distance,basis,orientation,rounds,decoder,model,shots,ler,ler_per_cycle,decode_seconds,note
5,Z,q6_5,250,mwpm,-,50000,0.45602,0.004838186074375694,7.091957289001584,
5,Z,q6_5,250,mwpm-rl,-,50000,0.45586,0.004830993468592726,7.251148237999587,
5,Z,q6_9,1,mwpm,-,50000,0.0013,0.0013000000000000234,0.009138298002653755,
5,Z,q6_9,1,mwpm-rl,-,50000,0.00136,0.0013600000000000279,0.009044767000887077,
5,Z,q6_9,10,mwpm,-,50000,0.05716,0.006033282380137506,0.289021889999276,
5,Z,q6_9,10,mwpm-rl,-,50000,0.05512,0.005806200533622685,0.28486607000013464,
5,Z,q6_9,13,mwpm,-,50000,0.075,0.006211818766065691,0.37478312800158164,
5,Z,q6_9,13,mwpm-rl,-,50000,0.07172,0.005919712969699675,0.371793569996953,
5,Z,q6_9,30,mwpm,-,50000,0.20264,0.00858649323295907,1.0238510859999224,
5,Z,q6_9,30,mwpm-rl,-,50000,0.20708,0.00883285881457685,1.0504390699970827,
5,Z,q6_9,50,mwpm,-,50000,0.25376,0.007033081254297746,1.5272031130007235,
5,Z,q6_9,50,mwpm-rl,-,50000,0.24654,0.006748070429797748,1.545148043998779,
5,Z,q6_9,70,mwpm,-,50000,0.3062,0.006724242183141049,2.1583690299994487,
5,Z,q6_9,70,mwpm-rl,-,50000,0.29852,0.006450303522327561,2.1785121809989505,
5,Z,q6_9,90,mwpm,-,50000,0.40528,0.00915777970227416,3.1116160989986383,
5,Z,q6_9,90,mwpm-rl,-,50000,0.39876,0.0087945925115967,3.1504245329997502,
5,Z,q6_9,110,mwpm,-,50000,0.38898,0.006793865220293183,3.3855866579979192,
5,Z,q6_9,110,mwpm-rl,-,50000,0.38252,0.006540212517916144,3.4525083629996516,
5,Z,q6_9,130,mwpm,-,50000,0.41596,0.006812074508459831,4.084211515997595,
5,Z,q6_9,130,mwpm-rl,-,50000,0.41184,0.006630470268493838,4.125362703001883,
5,Z,q6_9,150,mwpm,-,50000,0.43146,0.0065802847661896036,4.763120256000548,
5,Z,q6_9,150,mwpm-rl,-,50000,0.4303,0.006525075244024736,4.812420320002275,
5,Z,q6_9,170,mwpm,-,50000,0.45052,0.006756985103418323,5.42603936100204,
5,Z,q6_9,170,mwpm-rl,-,50000,0.44856,0.006644258847595841,5.484895737001352,
5,Z,q6_9,190,mwpm,-,50000,0.4734,0.007660958200732593,6.286807251999562,
5,Z,q6_9,190,mwpm-rl,-,50000,0.4683,0.007206227497572271,6.303110003998881,
5,Z,q6_9,210,mwpm,-,50000,0.4666,0.006401647149681222,6.740702279999823,
5,Z,q6_9,210,mwpm-rl,-,50000,0.46496,0.006288966079729674,6.815676187998179,
5,Z,q6_9,230,mwpm,-,50000,0.48154,0.0071205543283148764,7.724764381997375,
5,Z,q6_9,230,mwpm-rl,-,50000,0.48216,0.007193758851186227,7.686971330997039,
5,Z,q6_9,250,mwpm,-,50000,0.48672,0.007204292079390495,8.244075030001113,
5,Z,q6_9,250,mwpm-rl,-,50000,0.4784,0.006244507952689493,8.310976419001236,
5,Z,q8_7,1,mwpm,-,50000,0.00166,0.0016599999999999948,0.009346000002551591,
5,Z,q8_7,1,mwpm-rl,-,50000,0.00156,0.0015600000000000058,0.009072507000382757,
5,Z,q8_7,10,mwpm,-,50000,0.05762,0.006084617167727235,0.27493847999721766,
5,Z,q8_7,10,mwpm-rl,-,50000,0.05548,0.00584620561041882,0.27245051600039005,
5,Z,q8_7,13,mwpm,-,50000,0.07016,0.005781508542238023,0.35226369900192367,
5,Z,q8_7,13,mwpm-rl,-,50000,0.0683,0.00561733017470456,0.355746391996945,
5,Z,q8_7,30,mwpm,-,50000,0.17774,0.007267489909907665,0.9268227140019007,
5,Z,q8_7,30,mwpm-rl,-,50000,0.17428,0.007092055053342705,0.9415071650000755,
5,Z,q8_7,50,mwpm,-,50000,0.23486,0.0063034307309324245,1.4519918570003938,
5,Z,q8_7,50,mwpm-rl,-,50000,0.22996,0.0061225851203425274,1.5081237240010523,
5,Z,q8_7,70,mwpm,-,50000,0.30278,0.006600956057663587,2.1787637019988324,
5,Z,q8_7,70,mwpm-rl,-,50000,0.29698,0.006396613849336041,2.275014052000188,
5,Z,q8_7,90,mwpm,-,50000,0.38578,0.008135758569328078,3.0990012980000756,
5,Z,q8_7,90,mwpm-rl,-,50000,0.3834,0.008023038458377818,3.157324617000995,
5,Z,q8_7,110,mwpm,-,50000,0.38832,0.006767288433563445,3.491605700997752,
5,Z,q8_7,110,mwpm-rl,-,50000,0.38458,0.006619565493017565,3.6108020130013756,
5,Z,q8_7,130,mwpm,-,50000,0.4176,0.006886834003149989,4.156787784002518,
5,Z,q8_7,130,mwpm-rl,-,50000,0.41478,0.006759174337435003,4.317753327999526,
5,Z,q8_7,150,mwpm,-,50000,0.44354,0.007217650942665466,4.969702025002334,
5,Z,q8_7,150,mwpm-rl,-,50000,0.4419,0.007123575592162978,5.136202730998775,
5,Z,q8_7,170,mwpm,-,50000,0.45336,0.006928458804095594,5.573049197002547,
5,Z,q8_7,170,mwpm-rl,-,50000,0.45314,0.006914809550787826,5.746183136001491,
5,Z,q8_7,190,mwpm,-,50000,0.4672,0.007117745346452764,6.303818080003111,
5,Z,q8_7,190,mwpm-rl,-,50000,0.46496,0.006946343631499208,6.490555798998685,
5,Z,q8_7,210,mwpm,-,50000,0.47862,0.007449078150812305,6.8933291059984185,
5,Z,q8_7,210,mwpm-rl,-,50000,0.47572,0.007150649545302812,7.059858772001462,
5,Z,q8_7,230,mwpm,-,50000,0.47884,0.006827940599088034,7.617877674998454,
5,Z,q8_7,230,mwpm-rl,-,50000,0.47508,0.006477110313317158,7.94259822299864,
5,Z,q8_7,250,mwpm,-,50000,0.48246,0.006655554757652948,8.100934366997535,
5,Z,q8_7,250,mwpm-rl,-,50000,0.47988,0.006384673078155767,8.339144391000445,
